MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08パンドロ\nÇa vous ennuie si je prie avec vous ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nJe combats certes dans votre camp, mais je\nn'ai pas renié ma foi dans le Dragon déchu\npour autant.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06モーヴ\nVous êtes un membre du clergé au service du\nDragon divin. Il ne serait guère décent que\nnous priions ainsi côte à côte.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パンドロ\nOn ne croit pas aux mêmes choses, mais on est\ntous les deux des hommes de foi. Pourquoi\ns'embarrasser avec ces futilités ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06モーヴ\nCe sont ces « futilités » qui nous lient\nà notre foi.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nJe ne puis concevoir que vous considériez votre\nserment comme une vulgaire « futilité ».\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nDites-moi un peu. Vous priiez pour quoi,\nà l'instant ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06モーヴ\nNous vivons dans un monde malsain.\nLes prières pour l'avènement de la paix\nsont de rigueur.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nEh bien, vous savez quoi ? J'étais sur le point\nde prier exactement pour la même chose.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パンドロ\nLe contenu de nos prières est identique,\nmême si ce ne sont pas les mêmes dieux\nqui les accueillent.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06モーヴ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nJe n'ai jamais rencontré un membre du clergé\nqui tenait de tels propos.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nHa ha ! Moi non plus.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nSoit. Vous pouvez donc prier avec moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パンドロ\nBien, alors c'est parti. Si on prie tous les deux\npour la paix dans le monde, ils finiront\nbien par la faire arriver.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nSalut, Mauvier. Ça fait une paie. Vous voulez\ncasser la croûte avec moi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06モーヴ\nNon, merci.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\nOh, euh, d'accord. Vous avez autre chose\nde prévu ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06モーヴ\nNon.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パンドロ\nAlors on y va ! Vous avez besoin de manger\ncomme tout le monde ! On pourra faire un\nbrin de causette.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nJ'ai mieux à faire de mes journées que d'ergoter\nà nouveau au sujet de nos croyances religieuses.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パンドロ\nAlors on pourra causer de nos passe-temps,\nou de nos souvenirs d'enfance ? Des sujets\ndu tout-venant.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nVous gaspilleriez votre temps à bavarder de\nces fadaises alors que le monde ploie sous\nmille malheurs ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nLes membres du clergé ont aussi le droit de\nprendre une pause de temps en temps, à moins\nque ça ait changé.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06モーヴ\nEt tandis que l'on se prélasse, les malheurs se\npoursuivent. Non, je dois me consacrer à ma\ncause.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\nOh... euh... Et si on décidait de tout mélanger\naujourd'hui, juste pour se marrer un peu ?\nSi on faisait les choses à ma façon ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パンドロ\nAllez. Les malheurs accableront toujours\nle peuple dans une heure, je vous le promets.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06モーヴ\nVous vous échinez à plaisanter en pure perte,\nPandreo. Toutefois... je partagerai un repas\navec vous. Juste pour cette fois.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パンドロ\nAh ! C'est plus facile que j'aurais cru.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パンドロ\nJe connais l'endroit parfait. Vous serez\nconquis.\x0E\x04\x00\x00
