MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nSeadall, on raconte que vous êtes un des\nmeilleurs diseurs de bonne aventure.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セアダス\nC'est le cas.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セアダス\nOu devrais-je dire... c'était le cas.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nOh. Voulez-vous dire que... vous ne tirez\nplus les cartes ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セアダス\nEh bien, je dirais que je suis tombé dans\nune certaine routine, ces temps-ci.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nHm. J'ignorais que les diseurs de bonne\naventure pouvaient tomber dans une\n« routine ».\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セアダス\nÇa m'en a tout l'air, pourtant. Parfois, on n'est\npas à ce qu'on fait, et la lecture de l'avenir\ns'en ressent.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nJe vois. En fait, j'espérais vous demander\nde dévoiler mon avenir.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セアダス\nY a-t-il quelque chose qui vous tracasse ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nEn quelque sorte. Je suis très fatiguée, en ce\nmoment. J'espérais trouver un remède spécial\nà mon mal.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セアダス\nJe vois. Mais je crains de ne pas vous être\nd'une grande aide pour l'instant.\x0E\x04\x00\x00
