MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nDites-moi, Vander ! Où rangez-vous donc\nles armes légendaires par ici ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nLes armes légendaires ? Quelles sornettes\nme chantes-tu là, Amber ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アンバー\nJ'ai toujours rêvé d'avoir une arme légendaire.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\nLes coins sacrés, c'est pas ce qui manque à\nSomniel. Ce serait bien le diable si l'un d'entre\neux ne renfermait pas une épée ou...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nJe n'ai pas de temps à perdre en folklore et\nautres fariboles.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nOh. J'imagine que ça veut dire non. Compris.\nJe vais continuer à fureter à gauche, à droite,\non sait jamais...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nヴァンドレ\nEn fait... Je connais peut-être un moyen\ninfaillible de se procurer une arme légendaire.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nC'est vrai ? Lequel ? Comment puis-je mettre\nla main dessus ? Parlez, Vander, je vous en\nconjure !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nRéfléchis. Qu'est-ce qu'une arme légendaire,\nen substance ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nヴァンドレ\nUne arme légendaire, c'est d'abord une arme\nbrandie par un héros de légende, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nEuh. Oui, j'imagine...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nヴァンドレ\nEh bien voilà, Messire Amber... Tu n'as qu'à\nte montrer digne de mériter le titre de héros\nde légende.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nUn héros de légende ? Moi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nMais oui, bien sûr ! Si je me débrouille pour\ndevenir un héros de légende, ma fidèle lance...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\nDeviendra de fait une arme légendaire.\nAbsolument.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nOUAAAAH, OH OH OH !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アンバー\nVander... Vous êtes trop intelligent !\nJe sais exactement ce que je vais faire !\nJe vous laisse, j'ai une légende à écrire !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nGnn... Hah...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nPas encore... Il faut... que je m'entraîne\ndavantage...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nヴァンドレ\nTiens, tiens. Je me réjouis de te voir te livrer\nainsi à l'exercice dès potron-minet, Amber.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nIl faut ce qu'il faut. Je veux devenir aussi fort\nque possible !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アンバー\nComme vous le disiez si bien, je dois devenir\nune légende. Comme ça, ma lance deviendra\nune arme légendaire !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nヴァンドレ\nIl a pris mon sarcasme au pied de la lettre.\nSoit il est d'une détermination sans faille...\nsoit c'est un crétin.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アンバー\nHm ? Que dites-vous ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nヴァンドレ\nJe, hum, je m'interrogeais sur la raison qui\nte pousse à désirer si ardemment une arme\nlégendaire.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\nJ'ai grandi dans une bourgade perdue.\nIl n'y avait rien à faire, rien à voir. Seules\nles histoires me permettaient de m'évader.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nMa préférée racontait le destin d'un héros qui\nterrassait un monstre géant à l'aide d'une arme\nlégendaire...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nCette histoire, j'y pense tout le temps. Je veux\nêtre un héros de cet acabit... Un héros avec une\narme légendaire !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nヴァンドレ\nJe vois... Puisque tu es si déterminé...\nQue dirais-tu de t'entraîner avec moi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\nVraiment ? Vous ne me faites pas marcher ?\nJ'adorerais ça !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nVous êtes si fort, vous arborez un air si\ndétaché... J'ai hâte de voir les entraînements\nincroyables qu'on va faire ensemble.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nヴァンドレ\nHum... Commence déjà par essayer de suivre\nla cadence. Je n'ai nulle intention de ménager\nnotre « héros ».\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nArgh...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNotre héros peine déjà ? Nous en sommes\nencore aux muscles de la ceinture, nous\nn'avons pas même entamé la course.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nArgh... Je vais y rester, Vander... Vous vous\nentraînez toujours comme ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nToujours.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nC'est incroyable. J'arrive à peine à tenir\nla distance !\x0E\x04\x00\x00
