MID_MENU_YES	OK
MID_MENU_START	Commencer
MID_MENU_NO	Non
MID_MENU_CANCEL	Retour
MID_MENU_CANCEL_NO	Annuler
MID_MONETARY_UNIT	É
MID_MENU_UNIT_LIST	Unités
MID_MENU_UNIT_LIST_HELP	Comparer les caractéristiques\nde tous les alliés.
MID_MENU_UNIT_LIST_TITLEHELP	Comparez les caractéristiques de tous les alliés.
MID_MENU_ORDER	Combat auto
MID_MENU_ORDER_HELP	Choisir une stratégie globale\net laisser les unités se battre.
MID_MENU_REWIND	Cristal temporel
MID_MENU_REWIND_HELP	Remonter le temps pour\ntenter une autre approche.
MID_MENU_SYSTEM	Système
MID_MENU_H_SYSTEM	Consulter tutoriels et paramètres.
MID_MENU_TUTORIAL	Guide
MID_MENU_TUTORIAL_HELP	Choisissez une catégorie.
MID_MENU_H_TUTORIAL	Revoir les divers tutoriels.
MID_MENU_CONFIG	Paramètres
MID_MENU_CONFIG_HELP	Réglez les paramètres.
MID_MENU_H_CONFIG	Configurer les paramètres.
MID_MENU_RESTART	Réessayer
MID_MENU_RESTART_HELP	Recommencer cette bataille\ndepuis le début.
MID_MENU_RESTART_CONFIRM	Recommencer cette bataille depuis le début ?\n(Tout sera réinitialisé, y compris l'EXP\nque vous avez gagnée jusqu'à présent.)
MID_MENU_RESTART_CONFIRM_YES	Réessayer
MID_MENU_CONTINUEBATTLE_RESTART	Réessayer série
MID_MENU_CONTINUEBATTLE_RESTART_HELP	Recommencer cette série\ndepuis la première bataille.
MID_MENU_CONTINUEBATTLE_CONFIRM	Recommencer cette série depuis\nla première bataille ?\n(Tout sera réinitialisé, y compris l'EXP\nque vous avez gagnée jusqu'à présent.)
MID_MENU_RESET	Quitter
MID_MENU_RESET_HELP	Retourner à l'écran titre.
MID_MENU_RESET_CONFIRM	Retourner à l'écran titre ?\nToute progression non sauvegardée\nsera perdue.
MID_MENU_RESET_CONFIRM_YES	Oui
MID_MENU_TEMPORARY_SAVE	Signet
MID_MENU_TEMPORARY_SAVE_HELP	Sauvegarder et suspendre\nle jeu temporairement.
MID_MENU_END_TURN	Finir le tour
MID_MENU_END_TURN_HELP	Terminer le tour de\nvotre armée.
MID_MENU_MVP	HÉROS :
MID_MENU_TURN_COUNT	Tour :
MID_MENU_TURNS_COUNT	Tours :
